id;nome;descricao
1;Essence Mascara Lash Princess;The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.
2;Eyeshadow Palette with Mirror;The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.
3;Powder Canister;The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.
4;Red Lipstick;The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.
5;Red Nail Polish;The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.
6;Calvin Klein CK One;CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.
7;Chanel Coco Noir Eau De;Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.
8;Dior J'adore;J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.
9;Dolce Shine Eau de;Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.
10;Gucci Bloom Eau de;Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.
11;Annibale Colombo Bed;The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.
12;Annibale Colombo Sofa;The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.
13;Bedside Table African Cherry;The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.
14;Knoll Saarinen Executive Conference Chair;The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.
15;Wooden Bathroom Sink With Mirror;The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.
16;Apple;Fresh and crisp apples, perfect for snacking or incorporating into various recipes.
17;Beef Steak;High-quality beef steak, great for grilling or cooking to your preferred level of doneness.
18;Cat Food;Nutritious cat food formulated to meet the dietary needs of your feline friend.
19;Chicken Meat;Fresh and tender chicken meat, suitable for various culinary preparations.
20;Cooking Oil;Versatile cooking oil suitable for frying, sautéing, and various culinary applications.
21;Cucumber;Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.
22;Dog Food;Specially formulated dog food designed to provide essential nutrients for your canine companion.
23;Eggs;Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.
24;Fish Steak;Quality fish steak, suitable for grilling, baking, or pan-searing.
25;Green Bell Pepper;Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.
26;Green Chili Pepper;Spicy green chili pepper, ideal for adding heat to your favorite recipes.
27;Honey Jar;Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.
28;Ice Cream;Creamy and delicious ice cream, available in various flavors for a delightful treat.
29;Juice;Refreshing fruit juice, packed with vitamins and great for staying hydrated.
30;Kiwi;Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.
31;Lemon;Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.
32;Milk;Fresh and nutritious milk, a staple for various recipes and daily consumption.
33;Mulberry;Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.
34;Nescafe Coffee;Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.
35;Potatoes;Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.
36;Protein Powder;Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.
37;Red Onions;Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.
38;Rice;High-quality rice, a staple for various cuisines and a versatile base for many dishes.
39;Soft Drinks;Assorted soft drinks in various flavors, perfect for refreshing beverages.
